1,Nippani,BJP,SHASHIKALA JOLLE,F,87006,INC,KAKASO PANDURANG PATIL,78500,81.19%,211827,8506,BELAGAVI
2,Chikkodi-Sadalga,INC,GANESH HUKKERI,M,91467,BJP,ANNASAHEB SHANKAR JOLLE,80898,84.78%,210480,10569,BELAGAVI
3,Athani,INC,MAHESH IRANAGOUDA KUMATHALLI,M,82094,BJP,LAXMAN SANGAPPA SAVADI,79763,80.67%,213935,2331,BELAGAVI
4,Kagwad,INC,BALASAHEB PATIL,M,83060,BJP,BHARAMAGOUDA ALAGOUDA KAGE,50118,79.98%,181486,32942,BELAGAVI
5,Kudachi,BJP,P RAJIV,M,67781,INC,AMIT SHAMA GHATAGE,52773,75.86%,180233,15008,BELAGAVI
6,Raybag,BJP,AIHOLE DURYODHAN MAHALINGAPPA,M,67502,INC,PRADEEPKUMAR RAMU MALAGE,50954,76.80%,195179,16548,BELAGAVI
7,Hukkeri,BJP,UMESH KATTI,M,83588,INC,APPAYYAGOUDA BASAGOUDA PATIL,68203,81.15%,193756,15385,BELAGAVI
8,Arabhavi,BJP,BALACHANDRA LAXMANRAO,M,96144,JDS,BHIMAPPA GUNDAPPA GADAD,48816,76.29%,231177,47328,BELAGAVI
9,Gokak,INC,JARKIHOLI RAMESH LAXMANRAO,M,90249,BJP,ASHOK NINGAYYASWAMI PUJARI,75969,71.79%,241197,14280,BELAGAVI
10,Yemkanamardi,INC,SATISH. L. JARKIHOLI,M,73512,BJP,ASTAGI MARUTI MALLAPPA,70662,79.79%,186859,2850,BELAGAVI
11,Belgaum Uttar,BJP,ANIL S BENAKE,M,79060,INC,FAIROZ NURUDDIN SAITH,61793,63.18%,234887,17267,BELAGAVI
12,Belgaum Dakshin,BJP,ABHAY PATIL,M,84498,INC,M D LAKSHMINARAYAN (ANNAYYA),25806,62.50%,234509,58692,BELAGAVI
13,Belgaum Rural,INC,LAKSHMI HEBBALKAR,F,102040,BJP,SANJAY B PATIL,50316,77.47%,238753,51724,BELAGAVI
14,Khanapur,INC,ANJALI LIMBALKAR,F,36649,BJP,VITHAL HALAGEKAR,31516,74.86%,205959,5133,BELAGAVI
15,Kittur,BJP,DODDAGOUDAR MAHANTESH BASAVANTARAY,M,73155,INC,INAMDAR DANAPPAGOUDA BASANAGOUDA,40293,78.82%,187722,32862,BELAGAVI
16,Bailahongal,INC,KOUJALAGI MAHANTESH SHIVANAND,F,47040,IND,JAGDISH. CHANNAPPA METGUD,41918,77.92%,184116,5122,BELAGAVI
17,Saundatti Yellamma,BJP,ANAND VISHWANATH CHANDRASHEKHAR MAMANI,M,62480,IND,ANAND CHOPRA,56189,79.96%,191347,6291,BELAGAVI
18,Ramdurg,BJP,MAHADEVAPPA SHIVALINGAPPA YADAWAD,M,68349,INC,ASHOK MAHADEVAPPA PATTAN,65474,75.19%,200163,2875,BELAGAVI
19,Mudhol,BJP,GOVIND KARJOLA,M,76431,INC,BANDIWADDAR SATISH CHINNAPPA,60949,75.17%,196094,15482,BAGALKOT
20,Terdal,BJP,SIDDU SAVADI,F,87213,INC,UMASHREE,66324,78.43%,220340,20889,BAGALKOT
21,Jamkhandi,INC,SIDDU NYAMAGOWDA,F,49245,BJP,KULKARNI SHRIKANT SUBRAO,46450,74.98%,203681,2795,BAGALKOT
